,GRP_PD_Total_Scorecard_Points,TBSG001B,WOE_TBSBR34S,GRP_NA11,WOE_max_ks_max_util_3mos,t8,GRP_ALL2320,GRP_cust_rev_max_dlq_6mos,WOE_NA11,GRP_max_ks_max_dlqdays_6mos,GRP_TBSBR34S,GRP_dda_avg_dly_dep_amt_L90,t11,WOE_TBSAT34B,WOE_dda_sum_OS_Bal,WOE_dda_av_bal,TBSG059S,GRP_CVPRRVLR01,WOE_max_ks_max_util_6mos,GRP_CVPRAGG910,GRP_dda_min_Min_Mthly_Bal,WOE_CVSC100,GRP_REV5620,WOE_PD_Total_Scorecard_Points,GRP_TBSG302S,GRP_max_ks_num_dlqdays_12mos,GRP_TBSSC100,GRP_BCC7120,t12
5730,4,0,-0.045780008,3,-0.354041427,0,2,2,0.452822554,3,3,3,0,-0.469871632,-1.050757911,0.931759695,0,2,-0.65927715,1,1,0.469315498,2,0.914926411,1,3,4,1,0
5731,5,0,1.151735866,3,1.087368287,0,2,1,0.452822554,1,2,4,0,0.263253257,2.079364187,0.931759695,0,2,1.106670509,1,4,-0.597480962,2,2.360459417,1,1,5,1,0
5732,2,-4,0.080273964,2,-0.354041427,0,1,2,-0.37704675,3,1,1,1,0.100545443,-1.050757911,0.025116256,-4,2,-0.65927715,1,1,0.469315498,3,-1.188488621,1,3,1,2,1
5733,4,3,-0.045780008,2,0.61682937,0,2,1,-0.37704675,2,3,3,0,0.263253257,2.079364187,0.931759695,2,2,0.382100409,2,2,-0.597480962,4,0.914926411,2,2,3,1,0
5734,4,0,-0.045780008,3,0.61682937,1,1,2,0.452822554,1,3,3,1,0.263253257,-1.050757911,0.931759695,0,3,0.382100409,1,3,0.469315498,3,0.914926411,1,1,4,2,1
5735,4,0,-0.632657414,3,0.017097243,0,2,1,0.452822554,1,4,2,0,-0.469871632,0.60538659,0.025116256,0,2,0.382100409,1,4,0.469315498,3,0.914926411,1,1,4,1,0
5736,5,-4,0.080273964,4,1.087368287,0,1,1,1.323402953,1,1,1,0,0.100545443,2.079364187,0.931759695,-4,2,1.106670509,1,4,0.469315498,4,2.360459417,1,1,1,1,0
5737,1,-4,0.080273964,1,0.017097243,0,2,2,-1.281918189,1,1,2,0,0.100545443,-0.406465375,0.025116256,-4,4,-0.65927715,4,2,-0.597480962,1,-2.074529237,1,1,1,3,0
5738,3,0,0.080273964,4,-0.354041427,0,2,1,1.323402953,3,1,1,0,0.263253257,-0.406465375,-1.000382259,0,1,-0.65927715,3,3,0.469315498,2,-0.452086568,1,3,3,1,0
5739,5,0,1.151735866,4,1.087368287,0,1,1,1.323402953,1,2,4,0,1.413734741,2.079364187,0.931759695,0,2,1.106670509,1,4,0.469315498,3,2.360459417,1,1,4,2,0
5740,4,-4,0.080273964,3,-0.354041427,0,1,1,0.452822554,3,1,3,0,0.100545443,0.60538659,0.931759695,-4,2,-0.65927715,1,1,0.469315498,3,0.914926411,1,3,1,3,0
